"Group","PackageId","ModName","SourceRoot","SourceRelativePath","TargetRelativePath","Bytes","SHA256"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\ReplantFlower.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\ReplantFlower.png","8383","BFE331996FA36C27A9CA0DB4C57609B97885F6B3BBD2CD8BA1B2431EE1DF4458"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\SetUpOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\SetUpOutpost.png","5284","485CCD15EA855F49728C46B914E2C8F5F5D04AE7C1943E7815BC7D5C50731531"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\Switch.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\Switch.png","6853","9278D73221FB3F6B8F4D3699A632C4A8874B1D2817338718AECFC05441EBDB1D"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_Begin.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_Begin.png","1291","03E27B888609E38087DD8E3FE82852BDB1EFFC76F8B813BEB43F46FB7F9132A8"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_CancelIngredients.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_CancelIngredients.png","4137","894837C9F713D79CCE9D86A625AB7A0CA70508229DA7D02E37AA9C3620452B05"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_ExtractProduct.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_ExtractProduct.png","3776","AF7B2A9292AA3458114573472E12E37199BF5326EAD7307DBDE4A762E7A08305"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_IngredientAuto.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_IngredientAuto.png","11689","17EF2EC04D24C1EA538A924005830369A5114CB99B3753FD1FDBD5840EF111B3"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_InsertIngredients.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_InsertIngredients.png","3611","2EF2CFF6B029418DF9D46DE45DE57FE833FF20C9A21836A1868D2A50BED53AED"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_MachineOff.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_MachineOff.png","4033","044158141085D8097B202D48D6B8EDDCFDF2C529BD7FA789822F4CE69B9F570D"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_MachineOn.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_MachineOn.png","4044","CB7CD85439F08E000C1EF9771C12836C195D51CA2CD2126F00CBEABBD574B4ED"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_NoIngredient.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_NoIngredient.png","3045","BD506DA71F9F5043E6240BE05FD4C283853196B497A39967861CC0649B3149FB"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_SemiautomaticReset.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_SemiautomaticReset.png","5544","08DF6F7C366BAC87394E5CB7C6858B790CBB227BD69E4E3591429900570DDB47"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\IP_SetOutput.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\IP_SetOutput.png","4241","BCF1D674009D8895C094E33028AF0FC3B1917AFCC16D6D3D5B0E9473C92F91F9"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\DoorStateButton.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\DoorStateButton.png","1085","534165BA44778289ECDB73EB2D16426D25B0223A7F1EA5565C21802F0B8AB579"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\DoorStateOverlay_Blue.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\DoorStateOverlay_Blue.png","1119","839927E62CF5B913E5590E0C2E9440F253CCAEAF264D505A1012657E1B2C0473"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\DoorStateOverlay_Green.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\DoorStateOverlay_Green.png","1107","B7817AA79819C66835998E3D29CAC728DA2848A2CD3C6E06206172E54EAE7F2D"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\DoorStateOverlay_Orange.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\DoorStateOverlay_Orange.png","1092","C86762DA4C6CFCAEB1CE7D790D81BF3CB77295143D8D920D36F1E0F89D94B48F"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\DoorStateOverlay_Red.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\DoorStateOverlay_Red.png","1085","534165BA44778289ECDB73EB2D16426D25B0223A7F1EA5565C21802F0B8AB579"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Drain.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Drain.png","947","942A5025E6270539092B0BD73D3F753492E011B09CBC42754EF0928785EAA8B8"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Enable_Overlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Enable_Overlay.png","8844","03E2A8F9ED0E888D7D234F2CB73E2ADE762D166AA4E2FB19DD52BFF3997CAE06"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\FixingWrench.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\FixingWrench.png","1653","18B1C813E09230C7F6508C30248E87C6200FAB7F0F6528FA2AAFD977B70E16CB"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\ForceOpen_Overlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\ForceOpen_Overlay.png","5494","06B0708418D834922A597F8DDC896F96CA0F780CEFA3E4EAA27E84F6006DA408"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\IP_InputSlotOverlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\IP_InputSlotOverlay.png","995","153A783A61D15A8CA3518D1339E8A22B93D8C0135C1B7716F39DD54150E213B3"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\IP_OutputSlotOverlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\IP_OutputSlotOverlay.png","978","8016955A4A3E1FDC98BA7E1FB99A252ABAA8468A488EF1F320EEC01CCC823304"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\RechargingZ.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\RechargingZ.png","1561","AE61D28D21B37D190E1ED4F814BBC341C22FF35617831C070341C65E941D0242"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Scavenge_Overlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Scavenge_Overlay.png","8570","87F1783ED5876F2BE5E39F0DA2E42911507A3C278CA5C87437E805967568F4F9"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Study_Overlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Study_Overlay.png","9110","C92F955303DEA02C43AE5956BBAC7AF889F7A4DEB4CD0E1A637F015358AD49DD"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Weeds\WeedsA.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Weeds\WeedsA.png","9803","20A99D3BC8D18D94C50FA43F1625625ADB409D6DFF9B6843F28A076E0868A8F0"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Weeds\WeedsB.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Weeds\WeedsB.png","10760","909F75C48269797B397DB3B02A4B256F1247783AD176996E5D8AF80C7F2CDA37"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Overlays\Weeds\WeedsC.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Overlays\Weeds\WeedsC.png","11358","F96210BBF298B44297898E7869B771A42D7091B18AA6FBAAE0CAF5A68CA44561"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\PS_ExtractNow.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\PS_ExtractNow.png","9498","44A3F491D0BFD77B591F2F91B425CF80088C9AF8EC9139D24F3A43477CF0B939"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\PS_Less.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\PS_Less.png","5926","529197B922F9C6B349FDB0AAD46AEEA79316CB2B98355ABA1E5A0DEB57CF7889"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\PS_Plus.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\PS_Plus.png","6785","D0009FDC5E9E6F51D96C5761F86CACCA30B1048B32A529271B895E075D3F60D3"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityAuto.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityAuto.png","11565","5E46FA752FC77C844502D40329FBD9263E40944C09E7E35DDDB24B8F33273D12"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityAwful.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityAwful.png","9759","1361692E56B9B5AFFEA6CC29778DBDC83DCB693D3DFF65D458887AFF4F0101CE"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityCancel.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityCancel.png","5583","8436C3E3700ADE6552A54E01A01CE00EB1E42E73B3722A497331FCB4E9076C11"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityExcellent.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityExcellent.png","9458","D60CEDB3A181CB6347095462D43A4BDBF7472D5746A40A0E5E869EEBB0CCE732"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityGood.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityGood.png","9774","B9CFEF3882264E4C6DE1E0D1B4AF997D5C20E9374E85990BFBC5EC11A9B2CEDF"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityLegendary.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityLegendary.png","8313","07B4197F4EA8D19FE915B865BED10F3A3AF324360F28EB9F8D0E1E8BFEDFA952"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityMasterwork.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityMasterwork.png","8979","A58C7B1D7E90331BAD0428961B4C7626EF800E10E1B8FD0202918F1109FF4876"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityNormal.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityNormal.png","9804","70DBBBDA74FAA2E86A883D397A99DAAF42EFF86A4C76C361A1587160C1749747"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\QualitySelectors\IP_QualityPoor.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\QualitySelectors\IP_QualityPoor.png","9791","2F1F4F1069D3DDADDE142D2108E4C06E6533E7D3949897015994E23C7116FE05"
