family	packageId	mod	kind	defName	label	status	factions	addedTags	existingWeaponTags	existingApparelTags	reason	sourceFile
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_357_Revolver	.357 Revolver	assigned	Arizona raiders; California raiders; Great Khans; Nova Arizona frontier; Nuevo Texico frontier; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaCowboy,FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoFrontier,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_357_Revolver,FCP_Revolver,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Revolver_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_44Magnum_Revolver	.44 Magnum Revolver	assigned	Arizona raiders; California raiders; Great Khans; Nova Arizona frontier; Nuevo Texico frontier; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaCowboy,FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoFrontier,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_44Magnum_Revolver,FCP_Revolver,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Revolver_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_45_Auto_Pistol	.45 Auto Pistol	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_45_Auto_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_45_Auto_SMG	.45 Auto Submachine Gun	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Heavy,FIPW_T1_Wasteland	FCP_45_Auto_SMG,FCP_SMG,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_50_Cal_MG	.50 Cal Machine Gun	assigned	Circle of Steel; Enclave remnants; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Heavy,FIPW_T3_Advanced	FCP_50_Cal_MG,FCP_Power_Armor_Required,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Heavy_Weapon_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_556_Pistol	5.56mm Pistol	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sidearm,FIPW_T2_Service	FCP_556_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_9mm_Pistol	9mm Pistol	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_9mm_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_9mm_SMG	9mm SMG	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_SMG,FIPW_T1_Wasteland	FCP_9mm_SMG,FCP_SMG,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_AbileneKidLEBBGun	Abilene Kid LE BB Gun	unique_or_quest_only		FIPW_Role_Other,FIPW_Unique			Named FCP weapon; deliberately excluded from random faction pools.	D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Unique_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_AK_112_AR	AK-112 Assault Rifle	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Assault,FIPW_T2_Service	FCP_AK_112,FCP_Assault_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Assault_Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_AllAmerican	All-American	unique_or_quest_only		FIPW_Role_Other,FIPW_Unique			Named FCP weapon; deliberately excluded from random faction pools.	D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Unique_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Anti_Material_Rifle	Anti-Materiel Rifle	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sniper,FIPW_T2_Service	FCP_Anti_Material_Rifle,FCP_Sniper_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Sniper_Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Assault_Carbine	Assault Carbine	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Assault,FIPW_T2_Service	FCP_Assault_Carbine,FCP_Assault_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Assault_Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Automatic_Rifle	Automatic Rifle	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Assault,FIPW_T2_Service	FCP_Assault_Rifle,FCP_Automatic_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Assault_Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Battle_Rifle	Battle Rifle	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Assault,FIPW_T2_Service	FCP_Battle_Rifle,FCP_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_BB_Gun	BB Gun	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Rifle,FIPW_T1_Wasteland	FCP_BB_Gun,FCP_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_BigBoomer	Big Boomer	unique_or_quest_only		FIPW_Role_Other,FIPW_Unique			Named FCP weapon; deliberately excluded from random faction pools.	D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Unique_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Bozar	Bozar	unique_or_quest_only		FIPW_Role_Heavy,FIPW_Unique			Named FCP weapon; deliberately excluded from random faction pools.	D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Unique_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Brush_Gun	Brush Gun	assigned	Arizona raiders; California raiders; Great Khans; Nova Arizona frontier; Nuevo Texico frontier; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaCowboy,FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoFrontier,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Rifle,FIPW_T1_Wasteland	FCP_Brush_Gun,FCP_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Caravan_Shotgun	Caravan Shotgun	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Shotgun,FIPW_T1_Wasteland	FCP_Caravan_Shotgun,FCP_Shotgun,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Shotgun_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Chinese_Assault_Rifle	Chinese Assault Rifle	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Assault,FIPW_T2_Service	FCP_Assault_Rifle,FCP_Chinese_Assault_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Assault_Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_Chinese_Pistol	Chinese Pistol	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_Chinese_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
