StringId	Text
Part3|Keyed/Orion_CashRegister_TableTops.xml|RegisterRadiusTitle	Radius
Part3|Keyed/Orion_CashRegister_TableTops.xml|RegisterRadiusValue	Radius
Part3|Keyed/Orion_CashRegister_TableTops.xml|RegisterRadiusIncludeRegion	Include room
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|ErrorRequiresCashRegister	Gastronomy now requires the 'Cash Register' mod to be loaded.\n\nI had to create it in order to be able to work on a new feature. Sorry about this inconvenience.\n\nIf you add the 'Cash Register' mod, Gastronomy will continue working as before.\n\n\n-- Regards, Orion
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|MessageIncomeToday	Your restaurant has earned {0} today.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterRestaurant	Dining
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantDefaultName	restaurant {0}
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantTooltipSelect	Select which restaurant is linked to this register.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantTooltipRename	Rename this restaurant.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantTooltipAdd	Add another restaurant.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantTooltipRemove	Remove this restaurant.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|RestaurantDialogConfirmRemove	Are you sure you want to remove '{0}'?
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterOpened	Opened
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterOpenedTooltip	When checked, patrons can make orders while a shift is active.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterGuests	Allow guests
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterGuestsTooltip	When checked, guests will make orders.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterColonists	Allow colonists
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterColonistsTooltip	When checked, colonists will make orders.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterPrisoners	Allow prisoners
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterPrisonersTooltip	When checked, prisoners will make orders.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterSlaves	Allow slaves
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterSlavesTooltip	When checked, slaves will make orders.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterGuestPrice	Price for guests: {0}
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterGuestPriceTooltip	A multiplier for the market value. You can see the individual prices when you point at stocked items. This multiplier affects the mood of patrons.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterGuestPriceFree	Free
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterDebtTooltip	{0}: {1} (click to clear)
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterRadius	Radius
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterActiveStaff	Active staff:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterSeats	Seats:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterPatrons	Patrons:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterTotalOrders	Total orders:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterNeedsServing	Orders need serving:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterNeedsCooking	Orders need cooking:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterStocked	Stocked meals:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterDebts	Unpaid bills:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterEarnedYesterday	Earned yesterday:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|TabRegisterEarnedToday	Earned today:
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|CommandToggleDining	Dining
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|CommandToggleDiningDesc	When enabled, this location can be used for dining.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|CommandSetDeco	Change Decoration
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|CommandSetDecoDesc	Change the decoration on the table.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|JobDineGoReportSpecific	Eating at {0}.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|JobDineGoReport	Eating at restaurant.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|AlertNoRegister	No register
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|AlertNoRegisterExplanation	To open your restaurant, you need at least one register. This can be built from the production tab.
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|AlertNoWaiter	No waiter
Part3|Keyed/Orion_Gastronomy_Gastronomy.xml|AlertNoWaiterExplanation	To operate your restaurant, you need to set up at least one shift at a register and assign a capable waiter.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitAngerMultiple	{0} upset {1} {2}x in a row.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitFactionAnger	{0} of {1} is upset with you for recruiting {2} ({3}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitFactionAngerLeaderless	The members of {0} never heard back of their delegation ({2}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LostGroupFactionAnger	{0} of {1} never heard back of this delegation ({2}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LostGroupFactionAngerLeaderless	The members of {0} are upset with you for recruiting ({1}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitFactionPlease	{0} of {1} is glad that you took {2} off his hands ({3}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitFactionPleaseLeaderless	The members of {0} are glad that you took {1} off their hands ({2}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MessageGuestRecruitSuccess	{0} happily decided to join your colony!
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MessageGuestForcedRecruit	{0} has been forced to join your colony!
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelRecruitFactionChiefAnger	Chief angered
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelRecruitFactionAnger	Faction angered
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelRecruitFactionChiefPlease	Chief pleased
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelRecruitFactionPlease	Faction pleased
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestCanBeRecruitedNow	{PAWN_labelShort} has enough friends now to be recruited.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|TextMote_CharmFail	Offended
Part3|Keyed/Orion_Hospitality_Hospitality.xml|TextMote_CharmSuccess	Charmed
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsLeavingGreat	They are absolutely amazed by your hospitality! (Score: {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsLeavingGood	They really enjoyed their stay! (Score: {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsLeavingNormal	Their stay was okay. (Score: {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsLeavingBad	They expected more from you. (Score: {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsLeavingAwful	They were awfully disappointed by their stay. (Score: {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MessageVisitorsLeavingCold	The visitors from {0} are leaving again because it is too cold.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsSentAway	You have sent them away.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsReturnSoon	They will visit again in a few days.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsReturnWhile	They will visit again in a while.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsReturnNotSoon	They won't come back any time soon.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsReturnNot	They've had enough of you.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedTitle	Visitors from {FACTION_name} have arrived at {WORLDOBJECT_label} (from {1})
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedDesc	They are afraid to enter your territory for the following reasons:\n{1}\n\nIf you send them away they might stay in the area and come back later.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedAccept	Assure safety
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedRefuse	Send away
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedRefuseUntilBeds	Refuse visitors until I have guest beds
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedReasonNoBeds	No guest beds
Part3|Keyed/Orion_Hospitality_Hospitality.xml|VisitorsArrivedDontAskAgain	Always let them come (don't ask this again)
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelPawnBecameGuest	{PAWN_labelShort} became a guest
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelPawnJoinedGroup	{PAWN_labelShort} joined guests
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RescuedPawnBecameGuest	{PAWN_nameDef}, who you rescued, is now a guest and {PAWN_pronoun} will stay for a few more hours. You can wait, send {PAWN_objective} home or recruit {PAWN_objective}.\n\nWhen {PAWN_labelShort} leaves the map safely, {PAWN_possessive} faction will be grateful.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RescuedPawnJoinedGroup	{PAWN_nameDef}, who you rescued, has joined a visiting group of {PAWN_possessive} faction. When {PAWN_pronoun} leaves the map with them safely, they will be grateful.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DownedPawnBecameGuest	{PAWN_nameDef} is now a guest and {PAWN_pronoun} will stay for a few more hours. You can wait, send {PAWN_objective} home or recruit {PAWN_objective}.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DownedPawnJoinedGroup	{PAWN_nameDef} has joined a visiting group of {PAWN_possessive} faction.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LetterLabelHappyGuestJoins	{PAWN_labelShort} wants to stay
Part3|Keyed/Orion_Hospitality_Hospitality.xml|HappyGuestJoins	{PAWN_labelShort} of {0} made a deal with {PAWN_possessive} faction to let them join you as an ambassador. It will not worsen the relationship with {PAWN_possessive} faction.\n\nYou have time to decide until they leave.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestBoughtItem	A member of {FACTION_name} has bought {ITEM_label} for {1} silver.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestTookFreeItem	A member of {FACTION_name} has taken {ITEM_label} for free.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|InviteGuests	Invite for a visit
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsCantBeHostile	can't be hostile
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsDontWantToCome	currently not interested in visiting you
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsAlreadyComing	are already on their way and will arrive in {0}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsOnTheirWay	They are sending a delegation. Expect them to arrive in {0}.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AreaToStay	Allowed area
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AreaToBuy	Shopping area
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AreaNoShopping	No shopping
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AreaToStayTooltip	This is where guests may sleep and hang out.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AreaToBuyTooltip	Guests may buy items in this zone. Has to be inside the area of accommodation.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|FriendsRequirement	Enough friends to recruit: {0}/{1}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|SeniorityRequirement	Enough royal friend ranks to recruit: {0}/{1}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitmentPenalty	Relationship damage when recruited: {0} ({1} forced)
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ImproveRelationship	Try to entertain
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MakeFriends	Try to create friendships
Part3|Keyed/Orion_Hospitality_Hospitality.xml|LeaveAlone	Leave alone
Part3|Keyed/Orion_Hospitality_Hospitality.xml|FactionGoodwill	Faction goodwill
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality	Hospitality
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MakeDefault	Make Default
Part3|Keyed/Orion_Hospitality_Hospitality.xml|SendAway	Send away...
Part3|Keyed/Orion_Hospitality_Hospitality.xml|SendAwayQuestion	Are you sure you want to send the visitors from {FACTION_name} away?\nIf you send them away immediately after appearing, this will have no effect on relations.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Recruit	Recruit...
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CantRecruit	This guest can not be recruited (right now).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CantForceRecruit	This guest can not be recruited by force.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitQuestion	You can recruit {PAWN_nameDef} now.\n\nBecause {PAWN_pronoun} has enough friends, this only costs you {0} points of relationship with {PAWN_possessive} faction.{1}\n\n\nAre you sure you want to recruit {PAWN_objective}?
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ForceRecruit	Force recruit...
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ForceRecruitQuestion	You can recruit {PAWN_nameDef} immediately.\n\nBecause {PAWN_pronoun} doesn't have enough friends yet to join you on {PAWN_possessive} own accord, this costs you {0} points of relationship with {PAWN_possessive} faction. This will be less if {PAWN_pronoun} has more friends. {1}{2}\n\n\nAre you sure?
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ForceRecruitWarning	\n\nThis will cause them to become hostile immediately.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ForceAcidifierWarning	\n\nThey will trigger {PAWN_possessive} death acidifier.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|NotEnoughFriends	[PAWN_nameDef] does not like enough of your colonists (opinion &gt; {0}).
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CanNowBeRecruited	[PAWN_nameDef] can now be recruited.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|OnlyJoinsByForce	[PAWN_nameDef] will only join by force.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CanNeverRecruit	[PAWN_nameDef] can not be recruited.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|IsATrader	[PAWN_nameDef] is part of a trading caravan and not a guest.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ImproveTooltip	Your diplomats will try to temporarily improve the guest's mood. Good diplomats are more effective at this. Bad diplomats can anger the guest.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|TryRecruitTooltip	Your diplomats will try to befriend the guest with your other colonists. Good diplomats are more effective at this. Bad diplomats can anger the guest. When the guest has enough friends, he will join your colony.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RecruitTooltip	Your guest has enough friendships in the colony and can be recruited now. Recruiting causes damage to your relationship with this faction, though.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MakeDefaultTooltip	Applies the areas and the entertain settings to all current and future visitors.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|ForceRecruitTooltip	Instead of waiting for your diplomats to convince this guest, you can also force them to stay. The relationship damage with this faction will be much higher, though.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|SendAwayTooltip	Ask the group of this guest to go home again.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|BedsFilled	Beds in use: {0}/{1}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MapSettings	Map settings...
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsWelcome	Allow new guests
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsWelcomeTooltip	If you turn this off, no new guest groups will arrive at this colony.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RefuseGuestsUntilBeds	Refuse guests until guest beds are built
Part3|Keyed/Orion_Hospitality_Hospitality.xml|RefuseGuestsUntilBedsTooltip	If you turn this on, no new guest groups will arrive, until you've built guest beds.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsCanTakeFoodForFree	Guests may take food for free
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsCanTakeFoodForFreeTooltip	If you turn this on, guests may take and eat food from your stockpile for free.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsAskForSafety	Guests ask if it is safe to come
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestsAskForSafetyTooltip	If you turn this off, guests will not ask if they may come if there is danger present.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|StatsReport_MissingFriends	Missing friends
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachine	Vending machine
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachinePrice	Price:
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachineContains	Contains:
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachineToggleDesc	Allow guests to use this facility.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachineThreshold	Empty at:
Part3|Keyed/Orion_Hospitality_Hospitality.xml|Hospitality_VendingMachineContent	Content
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestBedFormat	guest {0}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CommandBedSetAsGuestLabel	For guests
Part3|Keyed/Orion_Hospitality_Hospitality.xml|CommandBedSetAsGuestDesc	Whether this bed is for guests.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|BedGizmoAttractiveness	Attractiveness:
Part3|Keyed/Orion_Hospitality_Hospitality.xml|BedSatisfiedTitles	These royal titles will accept this bed:
Part3|Keyed/Orion_Hospitality_Hospitality.xml|BedroomMustBeSingle	Only one bed
Part3|Keyed/Orion_Hospitality_Hospitality.xml|NextTitleRequirements	Requirements for the next title:\n- {0}
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertCantClaimBed	Guest can't claim bed
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertCantClaimBedDesc	These guests can't afford to claim a bed:\n\n{0}\nProvide cheaper or free beds or gift the guests some silver.\nFactions with a better relationship will bring more silver.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertNotEnoughBeds	Not enough guest beds
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertNotEnoughBedsDesc	There are not enough beds for the following pawns:\n\n{0}\nYou should provide more beds for guests.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertHasNoFood	Guest has nothing to eat
Part3|Keyed/Orion_Hospitality_Hospitality.xml|AlertHasNoFoodDesc	These guests have nothing to eat:\n\n{0}\nPut some food on sale, set up a nutrient dispenser as a vending machine or gift the guests some silver or rations. You can also allow guests to take food for free.\nFactions with a better relationship will bring more silver.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableLimits	Disable option limits
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableLimitsDesc	When this option is turned on, you can tweak the settings further than recommended for a fair game.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableVisitors	Disable visitors
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableVisitorsDesc	You actually hate visitors and wonder why you even have this mod.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableGuestsHelping	Disable guests helping
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableGuestsHelpingDesc	When checked, guests will not perform any work in your colony.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableArtAndCraft	Disable guests helping with art and crafting
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableArtAndCraftDesc	When checked, guests will not perform any artistic or crafting tasks.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableOperations	Disable guests helping with operations
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableOperationsDesc	When checked, guests will not perform any medical operations.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableMedical	Disable guests healing pawns
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableMedicalDesc	When checked, guests will not perform any tending work.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableGifts	Disable guests leaving gifts
Part3|Keyed/Orion_Hospitality_Hospitality.xml|DisableGiftsDesc	When checked, guests will never leave items behind when satisfied.
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MinGuestWorkSkill	Minimum skill for work
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MinGuestWorkSkillDesc	The minimum skill a guest needs to have to perform a task when helping out. (recommended: 7)
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestGroupSize	Guest group size
Part3|Keyed/Orion_Hospitality_Hospitality.xml|GuestGroupSizeDesc	The size a group of guests can be. (recommended: 1-16)
Part3|Keyed/Orion_Hospitality_Hospitality.xml|MaxIncidentsPer3Days	Maximum groups within 3 days
